구분,국가,국가_짧은명,항목명,항목명_짧은,티커,수집출처
주가,중국,중,Shenzhen Index,SEZE,399001.SZ,yfinance
주가,베트남,베,Vietnam VN Index,VNI,0P0000HY8X.VN,yfinance
주가,한국,한,KOSPI Composite Index,KOSPI,^KS11,yfinance
주가,인니,인,IDX Composite,IDX,^JKSE,yfinance
주가,필리핀,필,PSEi,PSEi,PSEi.PS,yfinance
주가,미국,미,NASDAQ Composite,NASDAQ,^IXIC,yfinance
주가,미국,미,S&P 500,S&P500,^GSPC,yfinance
주가,미국,미,Dow Jones Industrial Avg,DowJones,^DJI,yfinance
환율,베트남,베,USD/VND,USD/VND,FX_USDVND,naver
환율,인니,인,USD/IDR,USD/IDR,FX_USDIDR,naver
환율,한국,한,USD/KRW,USD/KRW,FX_USDKRW,naver
환율,필리핀,필,USD/PHP,USD/PHP,FX_USDPHP,naver
환율,중국,중,USD/CNY,USD/CNY,FX_USDCNY,naver
